#Augustus and Company Traits

augustus;Augustus;;;;;;;;;x 
augustus_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
augusta;Augusta;;;;;;;;;x 
augusta_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrator;Autokrator;;;;;;;;;x 
autokrator_desc;This character is the current ruler of the Eastern Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
autokrateira;Autokrateira;;;;;;;;;x 
autokrateira_desc;This character is the current ruler of the Eastern Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
imperator;Imperator.;;;;;;;;;x 
imperator_desc;This character is the current ruler of the Western Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 
imperatrix;Imperatrix.;;;;;;;;;x 
imperatrix_desc;This character is the current ruler of the Western Roman Empire and commands the respect an office of such magnitude is due.;;;;;;;;;x 

#Augustus and Company Compliments

COMPL_AUGUSTUS;Augustus;;;;;;;;;x 
COMPL_AUGUSTA;Augusta;;;;;;;;;x 
COMPL_AUTOKRATOR;Autokrator;;;;;;;;;x 
COMPL_AUTOKRATEIRA;Autokrateira;;;;;;;;;x 
COMPL_IMPERATOR;Imperator;;;;;;;;;x 
COMPL_IMPERATRIX;Imperatrix;;;;;;;;;x 

#Augustus and Company Gain and Loss Events

#Augustus
EVTDESCSRF_RRT.1;You are the current Emperor of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.1;Hail Caesar!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.2;You are no longer the Emperor of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.2;What a loss for the Empire!;;;;;;;;;;;;;x

#Augusta
EVTDESCSRF_RRT.3;You are the current Empress of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.3;Hail Caesar!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.4;You are no longer the Empress of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.4;What a loss for the Empire!;;;;;;;;;;;;;x

#Autokrator
EVTDESCSRF_RRT.5;You are the current Basileus of the glorious Eastern Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.5;Hail the Basileus!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.6;You are no longer the Basileus of the Eastern Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.6;What a loss for the Empire!;;;;;;;;;;;;;x

#Autokrateira
EVTDESCSRF_RRT.7;You are the current Basilissa of the glorious Eastern Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.7;Hail the Basilissa!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.8;You are no longer the Basilissa of the Eastern Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.8;What a loss for the Empire!;;;;;;;;;;;;;x

#Imperator
EVTDESCSRF_RRT.9;You are the current Emperor of the glorious Western Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.9;Hail the Emperor!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.10;You are no longer the Emperor of the Western Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.10;What a loss for the Empire!;;;;;;;;;;;;;x

#Imperatrix
EVTDESCSRF_RRT.11;You are the current Empress of the glorious Western Roman Empire. May your reign be a prosperous one!;;;;;;;;;;;;;x
EVTOPTASRF_RRT.11;Hail the Empress!;;;;;;;;;;;;;x
EVTDESCSRF_RRT.12;You are no longer the Empress of the Western Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;;;;x
EVTOPTASRF_RRT.12;What a loss for the Empire!;;;;;;;;;;;;;x
